system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDI45,NDVI,NDVIre,NDWI,NDre1,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,VH,VH_VV_ratio,VV,WVP,label,.geo
1526,0.033577777,0.033276923,0.09216052,0.04507465,0.03705,0.056638096,0.037356522,0.09957105,0.21668461,0.24782144,0.26314783,0.26701903,0.26895,0.0,0.0,0.0,0.0,0.0,0.45436084,0.7513745,0.450974,-0.64577496,0.37031293,0.0,0.0,0.0,4.0E-4,0.0037625,0.0059,0.0037,-15.739861,1.5114977,-10.41342,0.22416666,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1527,0.034269232,0.040853333,0.09920455,0.060669232,0.05261739,0.07231291,0.05680638,0.0999875,0.17334706,0.20157222,0.19734737,0.21304211,0.23036316,0.0,0.0,0.0,0.0,0.0,0.27540052,0.55297625,0.3274418,-0.463674,0.2683874,0.0,0.0,0.0,5.0E-4,0.0054,0.007147059,0.0059,-13.902736,1.7192312,-8.0866,0.20358,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1528,0.033570588,0.027815385,0.09546111,0.04472034,0.02763611,0.058240384,0.03318889,0.09723375,0.236025,0.2711059,0.28697777,0.29885295,0.25814724,0.0,0.0,0.0,0.0,0.0,0.4910563,0.7926774,0.49385303,-0.66258794,0.41646695,0.0,0.0,0.0,4.0E-4,0.00338,0.0058,0.0035,-15.646794,1.5520705,-10.08124,0.224125,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1529,0.0348,0.040275,0.09899231,0.049328573,0.045833334,0.06558,0.04997,0.10265,0.20041667,0.22761667,0.22568572,0.24523333,0.2404,0.0,0.0,0.0,0.0,0.0,0.345171,0.6374463,0.37472534,-0.54968953,0.32259127,0.0,0.0,0.0,4.0E-4,0.0047,0.0066142855,0.0052,-13.667652,1.6035453,-8.5233965,0.224,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1530,0.0348,0.040653847,0.09532857,0.04487,0.04038333,0.06390625,0.04081765,0.10565,0.22856471,0.2640889,0.2807883,0.28291818,0.27662104,0.0,0.0,0.0,0.0,0.0,0.4426394,0.7461636,0.45321155,-0.6292007,0.3677717,0.0,0.0,0.0,4.0E-4,0.0042,0.006625,0.0043,-14.437541,1.6456158,-8.773336,0.218125,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1531,0.03482222,0.02908,0.10638333,0.05159167,0.04103,0.064891666,0.041106667,0.104033336,0.22182857,0.251,0.2532,0.27285,0.27661428,0.0,0.0,0.0,0.0,0.0,0.4335584,0.7206542,0.41756088,-0.5919939,0.3614882,0.0,0.0,0.0,4.0E-4,0.0042,0.00665,0.004466667,-13.832812,1.6011789,-8.639142,0.2155,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1532,0.03482222,0.04324,0.103346154,0.048375,0.042375,0.06652414,0.050505556,0.10497273,0.20713636,0.23104118,0.236525,0.25469285,0.25403333,0.0,0.0,0.0,1.0E-4,0.0,0.35032013,0.6480824,0.3852215,-0.560968,0.3273331,0.0,0.0,0.0,4.0E-4,0.0043833335,0.0066444445,0.0049666665,-14.508774,1.8336794,-7.912383,0.22135,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1533,0.03479,0.056163635,0.05684231,0.0301,0.07959333,0.09550625,0.08041538,0.0912,0.119236365,0.13094285,0.08817143,0.13549091,0.12126,0.0,0.0,0.0,0.0,0.0,0.062841795,0.04600625,-0.016884359,0.039933108,0.13322964,0.0,0.0,0.0,5.0E-4,0.008,0.0097,0.008277778,-20.023708,1.4360542,-13.94356,0.21985,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1534,0.034864284,0.06624762,0.04495238,0.02511724,0.082175,0.097726665,0.08227619,0.10516522,0.11438333,0.13052857,0.14546667,0.12246,0.09770556,0.0,0.0,0.0,0.0,0.0,0.122113004,0.27746418,0.16079937,-0.19630474,0.041986667,0.0,0.0,0.0,6.0E-4,0.0082625,0.010035714,0.008764286,-15.510011,1.4710561,-10.543453,0.216925,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1535,0.0342,0.0410875,0.10578571,0.06040435,0.064288236,0.08009091,0.07239565,0.10365,0.177275,0.20103334,0.18176,0.21284,0.24586956,0.0,0.0,0.0,0.0,0.0,0.17753549,0.4303046,0.27367646,-0.3882709,0.2620806,0.0,0.0,0.0,5.0E-4,0.0064,0.00825,0.0073,-14.636116,1.8815098,-7.778921,0.2141,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
